Name,Country,priority_rank,area_km2,percentage_protected,mean_HII,priority_set
Merja Halloufa,Morocco,1932,25.39,77.78,21.09,0
Van Ban,Vietnam,1933,1282.7,25.88,17.35,0
Greater Greytown complex,South Africa,1934,1370.54,2.19,18.38,0
Fethiye,Turkey,1935,248.31,0,26.28,0
Judean foothills,Israel,1936,1248.96,11.03,27.73,0
Los Rodeos-La Esperanza,Spain,1937,33.28,0,41.69,0
Ban Bung,Vietnam,1938,130.58,82.93,24.73,0
Horsh Ehden Nature Reserve,Lebanon,1939,25.59,88.89,19.16,0
Hasroun,Lebanon,1940,45.53,0,20.39,0
Blackjack Peninsula of Aransas National Wildlife Refuge,USA,1941,251.69,98.8,16.07,0
Rim--Sannine Mountain,Lebanon,1942,14.29,0,28.51,0
Rubicon Estuary,Australia,1943,23.32,44.45,15.56,0
Tannourine Nature Reserve,Lebanon,1944,25.62,44.45,18.92,0
Parque Nacional Natural Nevado del Huila,Colombia,1945,2083.15,96.37,15.69,0
Bipolo,Indonesia,1946,13.56,0,17.43,0
Rio Anamuya,Dominican Republic,1947,13.04,25,23.93,0
Satoi Range,India,1948,173.46,0,10.19,0
San Sebastián,Colombia,1949,102.69,13.33,21.9,0
Playa Pampa,Peru,1950,37.29,0,17.18,0
Mitsio-Tsarabanjina MPA,Madagascar,1951,73.64,0,19.05,0
Nasigasiga,Fiji,1952,29.68,0,14,0
Nameri National Park,India,1953,312.96,35.28,18.57,0
Routa,Indonesia,1954,1674.24,0.21,6.28,0
Yindian Shan and Xiling Shan ranges,China (mainland),1955,1002.63,65.41,18.85,0
Ban Thi - Xuan Lac,Vietnam,1956,130.63,24.38,25.21,0
Piñones,Puerto Rico (to USA),1957,42.45,53.85,44.09,0
Xiaozhaizigou Nature Reserve,China (mainland),1958,703.31,34.44,12.26,0
Akdağ - Denizli,Turkey,1959,1458.65,0,20.69,0
Jebel Sannine,Lebanon,1960,45.69,0,20.75,0
Onchon field,North Korea,1961,444.78,0,27.68,0
Kinabatangan floodplain,Malaysia,1962,986.81,20.83,16.52,0
Kolombangara Marine,Solomon Islands,1963,78.39,4.35,14.16,0
Río Cabras gully,Spain,1964,42.36,0,31.15,0
"Qalansiya lagoon, Socotra",Yemen,1965,6.72,0,21.11,0
Beaches of Boavista Island,Cape Verde,1966,16.53,0,10.1,0
Merja Zerga,Morocco,1967,79.1,67.85,21.65,0
Mount Makiling Forest Reserve,Philippines,1968,96.8,79.31,31.93,0
Refugio de Fauna Silvestre y Reserva de Pesca Laguna de Boca de Caño,Venezuela,1969,104.38,77.42,33.41,0
Khor Dubai,United Arab Emirates,1970,49.83,50.01,49.18,0
Great Coco Island,Myanmar,1971,10.01,0,14,0
Quezon National Park,Philippines,1972,90.17,44.45,20.47,0
Tullen Batae,Indonesia,1973,85.94,0,14.27,0
"Di-Ishal foothills, Socotra",Yemen,1974,40.33,0,20.67,0
Anderson Inlet,Australia,1975,16.13,49.99,25.58,0
Gully of Ajuí-Betancuria,Spain,1976,154.42,96.08,24.92,0
Aypate,Peru,1977,30.88,66.67,4.4,0
Robbins Passage and Boullanger Bay,Australia,1978,44.37,11.75,12.45,0
Ganshiling,China (mainland),1979,71.87,9.09,21.36,0
"North Coastal Plain / airport to Di Selmeho / Ghubbah (Airport dunes), Socotra",Yemen,1980,10.08,0,21.1,0
"Rookib hills, Socotra",Yemen,1981,13.44,0,21.83,0
Gran Humedal del Norte de Ciego de Ávila,Cuba,1982,1248.78,95.15,29.43,0
Bunning Wildlife Sanctuary,India,1983,245.95,0,14.28,0
"Wadi Ayhaft, Socotra",Yemen,1984,6.72,0,19.44,0
Lambir Hills National Park,Malaysia,1985,151.05,70.45,16.84,0
Starbuck Island Marine,Kiribati,1986,10.28,0,0,0
Pozo Negro mountain-Vigán,Spain,1987,148.5,93.87,36.65,0
Goro Jé et haute vallée de la rivière Amoa,New Caledonia (to France),1988,118.92,0,16.46,0
"Cape Hooker, Low Island",Antarctica,1989,1.55,0,NA,0
Joubin Islands,Antarctica,1989,2.93,0,NA,0
Danger Islands,Antarctica,1989,1.54,0,NA,0
"Atlantic, Antarctic 10 - Marine",Antarctica,1992,4.37,0,NA,0
Islet south of Bates Island,Antarctica,1993,5.64,0,NA,0
Bañados del Río Saladillo,Argentina,1994,546.36,0,19.93,0
Solo Delta,Indonesia,1995,146.91,0,23.28,0
"Jabal Ma'alah / Ma'alah Plateau, Socotra",Yemen,1996,292.26,0,18.15,0
Min Jiang Estuary,China (mainland),1997,1658.71,4.66,27.56,0
"Rewgid and Regid plateaus, Socotra",Yemen,1998,40.31,0,19.11,0
Suyo-La Tina,Peru,1999,610.83,0,18.14,0
Chelekleka lake and swamp,Ethiopia,2000,313.05,0,22.03,0
Umdloti,South Africa,2001,829.4,0.72,30.79,0
Kona Forests,USA,2002,957.46,33.94,17.15,0
Bherjan-Borajan-Podumoni Wildlife Sanctuary,India,2003,45.8,0,36.43,0
Aoupinié,New Caledonia (to France),2004,144.45,60,16.22,0
Coastal Wet Tropics,Australia,2005,804.14,76.71,15.56,0
Ambondrombe (Belo sur Tsiribihana) NPA,Madagascar,2006,123.51,0,13.87,0
Radhanagari Wildlife Sanctuary,India,2007,611.12,55.66,16.84,0
Dehra Gali (DKG) forest,India,2008,51.52,0,20.12,0
Sibsagar Tanks,India,2009,18.41,0,39.42,0
Kibira National Park,Burundi,2010,529.4,95.45,19.01,0
Daebu-do island,South Korea,2011,30.15,0,23.65,0
Quirino Protected Landscape,Philippines,2012,1900.37,97.39,15.2,0
Molaswori,Indonesia,2013,41.29,0,16.33,0
Rawa Danau,Indonesia,2014,109.51,62.5,18.45,0
Santa Cruz Mountains,Jamaica,2015,65.48,20,24.35,0
Paltashaco,Peru,2016,65.14,0,16.56,0
Middle reaches of the Sherabad River,Uzbekistan,2017,301.18,0,14.98,0
Pota,Indonesia,2018,17.03,0,15.45,0
Cuverville Island,Antarctica,2019,1.47,0,NA,0
Muara Paguyaman Pantai,Indonesia,2020,158.34,0,21.36,0
Tanjung Panjang,Indonesia,2021,123.92,58.33,20.79,0
Waigeo Utara/Timur,Indonesia,2022,3018.81,80.5,7.4,0
Champará,Peru,2023,415.15,0,14.63,0
Dibru - Saikhowa Complex,India,2024,1215.76,2,22.69,0
Quwayq River,Syria,2025,896.95,0,30.04,0
Saint Augustin Forest,Madagascar,2026,597.02,1.06,19.64,0
Port Elizabeth complex,South Africa,2027,855.28,19.07,28.45,0
Oygaing River Valley,Uzbekistan,2028,109.73,97.68,14.52,0
Tanga South,Tanzania,2029,13.71,50,22.01,0
Beanka NPA,Madagascar,2030,291.47,0,7.1,0
Isla Guafo,Chile,2031,157.01,0,12,0
Manglares del golfo de Guayaquil,Ecuador,2032,1592.03,7.56,17.44,0
Jobos Bay,Puerto Rico (to USA),2033,36.02,63.64,38.93,0
Similajau National Park,Malaysia,2034,158.06,84.78,19.76,0
Aneityum,Vanuatu,2035,54.93,0,18.87,0
Burnaz Dunes,Turkey,2036,44.04,0,28.58,0
Tarut Bay,Saudi Arabia,2037,36.92,0,34.51,0
Djaul Island,Papua New Guinea,2038,96.25,0,14.3,0
Buton Utara,Indonesia,2039,1358.61,83.59,14.11,0
Teluk Kupang,Indonesia,2040,172.81,0,26.3,0
Várzeas em Tijucas do Sul,Brazil,2041,303.53,20.41,19.59,0
Tacacoma-Quiabaya y Valle de Sorata,Bolivia,2042,1034.16,0,16.76,0
Manipo,Indonesia,2043,196.55,50,16.48,0
Roan Mountain,USA,2044,141.9,45.09,15.03,0
Mahajamba Bay - Anjavavy Complex,Madagascar,2045,1579.26,0,17.55,0
Toranmal Reserve Forest,India,2046,482.39,0,19.34,0
Serra da Mantiqueira,Brazil,2047,1913.76,96.01,26.15,0
Long Island and Hog Cay,Bahamas,2048,417.6,0,18.29,0
Selat Pantar,Indonesia,2049,74.92,9.09,15.08,0
Siraro,Indonesia,2050,10.33,0,22.8,0
Al-Dhakira mangrove,Qatar,2051,34.1,0,28.97,0
Belagua-Ansó-Hecho,Spain,2052,699.12,93.87,14.16,0
Khe Net,Vietnam,2053,278.24,29.41,21.5,0
Chua Huong,Vietnam,2054,64.44,15,22.48,0
Coastal area between Lokaro and Lavanono,Madagascar,2055,24.98,0,13.75,0
Gunung Merapi,Indonesia,2056,208.18,72.13,20.98,0
Ajdabiya Marsh,Libya,2057,35.47,0,21.08,0
Ongjin Bay,North Korea,2058,40.76,0,22.42,0
Stafford Creek to Andros Town,Bahamas,2059,146.88,57.45,10.85,0
Mehao Wildlife Sanctuary,India,2060,388.49,57.8,11.65,0
Loma Quita Espuela,Dominican Republic,2061,159.11,73.47,23.46,0
Cuc Phong,Vietnam,2062,303.42,90.43,22.89,0
Anja Community Reserve,Madagascar,2063,89.54,0,15.5,0
Unryul Kumsanpo,North Korea,2064,75.39,0,33.28,0
Kazanlı,Turkey,2065,13.78,0,43.11,0
Lake Macquarie,Australia,2066,147.04,17.65,37.33,0
Parque Nacional El Ávila and surrounding areas,Venezuela,2067,1059.17,79.24,32.42,0
Lake Skadar,Montenegro,2068,241.95,3.16,21.18,0
Mounts Palay-Palay-Mataas Na Gulod National Park,Philippines,2069,40.04,75,20.81,0
Pingnan Dapeng,China (mainland),2070,220.47,0,13.92,0
South Shore of Lake Van,Turkey,2071,318.29,0,18.28,0
Cavally and Goin - Debe Forest Reserves,Côte d'Ivoire,2072,1488.2,85.52,15.56,0
Way Kambas,Indonesia,2073,1320.34,98.7,20.45,0
South Andros Island,Bahamas,2074,1013.13,82.32,8.81,0
Região dos Aparados da Serra,Brazil,2075,3401.49,36.92,18.36,0
Amatole Forest Complex,South Africa,2076,1139.17,1.27,19.28,0
Vohibe-Ambalabe (Vatomandry) NPA,Madagascar,2077,3.25,0,16.56,0
"Mactan, Kalawisan and Cansaga Bays",Philippines,2078,50.8,0,43.02,0
Ke Go,Vietnam,2079,278.11,89.41,22.36,0
Mporoto Ridge Forest Reserve,Tanzania,2080,200.58,96.61,19.45,0
Analalava-Analabe-Betanantanana (Ambatosoratra) NPA,Madagascar,2081,19.69,0,14.3,0
Owenstown,Bahamas,2082,37.47,0,10.81,0
Estación Científica Pedro Franco Dávila,Ecuador,2083,13.77,0,22.37,0
Chandoli Wildlife Sanctuary,India,2084,411.05,32,14.72,0
Black River Great Morass,Jamaica,2085,193.12,59.31,24.43,0
"Sugarloaf Island, Clarence Island",Antarctica,2086,6.63,0,NA,0
Aspland Island / Eadie Island,Antarctica,2087,4.93,0,NA,0
North Coast Forest,Jamaica,2088,555.14,5.88,30.21,0
Mount Balatukan,Philippines,2089,455.83,39.55,19.06,0
Mount Zuquala,Ethiopia,2090,105.53,0,22.49,0
El Colorado,Argentina,2091,2490.5,0,17.19,0
San Andros Pond,Bahamas,2092,3.12,0,17.08,0
Mount Zakrou,Greece,2093,157.74,35.72,21.81,0
Sri Lankamalleswara Wildlife Sanctuary,India,2094,596.32,0,22.98,0
Tanah Besar,Indonesia,2095,601.14,0,11.52,0
Khaling / Neoli Wildlife Sanctuary,Bhutan,2096,426.6,90.65,12.83,0
Buya,Indonesia,2097,196.1,0,13.14,0
Ambavanankarana wetland,Madagascar,2098,452.38,0,22.4,0
Catanduanes Watershed Forest Reserve,Philippines,2099,437.92,94.65,24.63,0
Trancas,Argentina,2100,432.52,0,19,0
Llano Grande - Malpaís Grande - Malpaís Chico,Spain,2101,106.06,48.57,23.51,0
Entre les monts Nakada et Do,New Caledonia (to France),2102,377.42,45.76,17.27,0
Morro Tabaiba-Morro de los Rincones-Vallebrón mountains,Spain,2103,136.03,75.55,36.7,0
Chu'an,Taiwan,2104,31.24,0,47.68,0
Bagua,Peru,2105,89.06,0,22.03,0
Famara sandy plain,Spain,2106,111.32,72.97,39.24,0
Reserva Nacional Salinas y Aguada Blanca,Peru,2107,4084.49,99.19,10.78,0
Santo Amaro / Cachoeira,Brazil,2108,188.02,30.35,24.62,0
Cape Blanco Nearshore Ocean,USA,2109,111.36,47.75,19.56,0
North San Diego Lagoons,USA,2110,95.21,69.69,46.64,0
Haría-Tabayesco,Spain,2111,42.09,49.99,36.8,0
Los Molinos gully-Plain of La Laguna,Spain,2112,69.58,52.17,26.89,0
Gongga Shan Nature Reserve,China (mainland),2113,3300.11,96.65,17.29,0
Lajares sandy plain-Cotillo-Ezquinzo,Spain,2114,102.73,85.29,18.76,0
Montaña El Cardón - Jable de Bigocho,Spain,2115,106.1,28.57,21.1,0
Cat Island Wetlands,Bahamas,2116,169.33,0,17.09,0
Desembocadura del Río Loa,Chile,2117,16.02,0,19.29,0
Lac Thuy - Kim Bang,Vietnam,2118,106.39,0,22.74,0
Tsitsikama - Plettenberg Bay,South Africa,2119,31.38,90.91,12.37,0
Kaya Kivara,Kenya,2120,6.87,0,17.35,0
Mount Labo,Philippines,2121,213.76,57.8,20.91,0
Plains of Mareta-Hoya de la Yegua,Spain,2122,36.17,91.67,36.55,0
Sekaroh,Indonesia,2123,37.41,0,10.76,0
Hima Anjar - Kfar Zabad,Lebanon,2124,20.04,0,35.57,0
Bach Ma,Vietnam,2125,280.98,96.47,25.61,0
Tourville and Murat Bays,Australia,2126,90.36,0,11.59,0
Akh Gol,"Iran, Islamic Republic of",2127,74.31,0,21.51,0
Quebrada Mojón,Bolivia,2128,531.31,0,14.99,0
Tai National Park and Nzo Faunal Reserve,Côte d'Ivoire,2129,469.26,58.43,16.82,0
Mangrove Cay,Bahamas,2130,47.08,0,5.64,0
Batu Gendang,Indonesia,2131,187.08,14.55,16.19,0
İğdır Plain,Turkey,2132,934.46,4.82,22.89,0
Saint Michel de l’Attalaye – Morne Basile,Haiti,2133,149.34,0,24.99,0
Gunung Mutis,Indonesia,2134,658.43,32.48,11.29,0
Runtacocha-Morococha,Peru,2135,474.84,0,16.12,0
Chaglagaum - Denning - Walong,India,2136,1709.7,0,6.26,0
Benghazi,Libya,2137,26.22,0,47.49,0
Geziret al Elba - Ayn al Ghazalah Bay,Libya,2138,29.12,0,14.44,0
Parque Nacional Natural Los Katíos,Colombia,2139,958.3,98.22,8.93,0
Urlabari forest groves,Nepal,2140,6.15,0,25.38,0
Serra do Cipó,Brazil,2141,945.45,98.62,16.13,0
Lower Kuzuryugawa,Japan,2142,113.99,21.96,52.82,0
Pasoso,Indonesia,2143,158.34,0,14.59,0
Metkalgudde Reserve Forest - Shankaranarayan Reserve Forest,India,2144,46.82,0,16.86,0
Konni Reserve Forest,India,2145,139.35,0,14.04,0
Penino Beach and Santa Lucía Wetlands,Uruguay,2146,778.91,93.81,32.78,0
Lake Ihotry - Mangoky Delta Complex NPA,Madagascar,2147,1980.07,0,18.44,0
Morotai,Indonesia,2148,1403.24,0,11.64,0
Southern Drakensberg foothills,South Africa,2149,2939.77,26.89,14.83,0
Alto Cariri,Brazil,2150,359.99,84.4,16.95,0
Zeta Stream,Montenegro,2151,45.8,0,34.73,0
Golfo di Orosei e Gennargentu,Italy,2152,443.07,42.21,20.1,0
"Pacuare, coastal wetlands and Migratory Bird Corridor",Costa Rica,2153,227.01,55.22,26.15,0
Forests west of Lake Edward,"Congo, The Democratic Republic of the",2154,2006.79,14.41,17.32,0
Caratinga,Brazil,2155,51.84,0,17.48,0
Red Bays,Bahamas,2156,21.81,0,9,0
Yabassi,Cameroon,2157,3085.06,0,11.72,0
Yeongheung-do and Sonje-do islands,South Korea,2158,27.4,0,16.97,0
Cerro Miramundo,Guatemala,2159,3.33,0,26,0
King Island,Australia,2160,317.23,79.17,14.68,0
Kuiburi,Thailand,2161,649.05,69.44,10.39,0
Buxa Tiger Reserve (National Park),India,2162,80.06,0,27.04,0
Sierra de Zapla,Argentina,2163,169.53,0,15.68,0
Leimia Kraik,Timor-Leste,2164,57.82,0,14.95,0
Che Tao,Vietnam,2165,348.59,72.47,16.49,0
Erlang Shan,China (mainland),2166,152.21,0,19.64,0
Skiathos and Skopelos islands,Greece,2167,40.04,46.66,22.85,0
Southern Great Lake,Bahamas,2168,50.31,0,17.95,0
Subaun,Timor-Leste,2169,248.5,13.7,20.21,0
Rkîz,Mauritania,2170,204.27,0,11.03,0
Tombattu Reserve Forest  - Shankaranarayan Reserve Forest,India,2171,66.91,0,14.29,0
Gunung Singgalang,Indonesia,2172,330.44,57.29,19.28,0
Baimaling-Huishan,China (mainland),2173,273.15,2.38,18.69,0
Bosque de Zárate,Peru,2174,47.15,42.86,18.56,0
Antigua Guatemala,Guatemala,2175,1596.56,41.54,31.3,0
Liguasan marsh,Philippines,2176,2418.97,1.98,22.62,0
Toliary Great Reef,Madagascar,2177,511.83,12.88,15.16,0
Lambusango,Indonesia,2178,760.88,55.86,18.7,0
Beaches of Sal Island,Cape Verde,2179,13.19,0,17.07,0
Cuchillete de Buenavista-gully of La Torre-Los Alares,Spain,2180,115.05,76.32,28.53,0
Kisite island - Marine,Kenya,2181,6.86,0,20.83,0
Falaise Sidi-Moussa,Morocco,2182,11.39,49.99,41.81,0
Jaza'ir al-Hanish,Yemen,2183,190.47,0,NA,0
Daedong Bay,North Korea,2184,16.15,0,27.26,0
Mount Kulasi,Philippines,2185,56.8,11.76,23.99,0
Tarajalejo mountain range,Spain,2186,48.53,0,28.4,0
Scenic Rim,Australia,2187,2359.13,93.44,10.6,0
Tikopia - Fatutaka,Solomon Islands,2188,6.73,0,12.66,0
Thattekkad Wildlife Sanctuary,India,2189,108.44,0,19.46,0
Lagga - Bagga Reserve Forest,India,2190,51.28,47.05,21.13,0
Chongchon River estuary (including Mundok Nature Reserve),North Korea,2191,76.95,0,21.61,0
Mount Agtuuganon and Mount Pasian,Philippines,2192,1071.24,14.65,16.05,0
Barail Range,India,2193,1396.24,26.8,12.1,0
Pondoland North Coast,South Africa,2194,2326.11,7.22,19.28,0
Noto Peninsula,Japan,2195,1597.2,35.67,28.02,0
Nuratau Range,Uzbekistan,2196,452.77,64.15,13.33,0
Booby Cay,Bahamas,2197,15.92,0,5.25,0
Sallum Gulf,Egypt,2198,32.27,63.65,27.51,0
Shouf Cedars Nature Reserve,Lebanon,2199,297.94,76.93,27,0
Pu Luong,Vietnam,2200,335.35,94.23,20.82,0
Bosque de Polylepis de Madidi,Bolivia,2201,1122.68,98.22,6.74,0
Thiet Ong,Vietnam,2202,41.98,0,21.97,0
Bukit Tigapuluh,Indonesia,2203,1579.75,94.34,13.57,0
Beaches of Maio Island,Cape Verde,2204,36.54,45.46,16.11,0
Pagbilao and Tayabas Bay,Philippines,2205,63.47,0,29.6,0
Delta del Mayarí,Cuba,2206,51.51,0,28.72,0
Cuenca del Río San Miguel,Colombia,2207,144.35,40.48,20.03,0
Nui Boi Yao,Vietnam,2208,93.58,17.24,18.38,0
Estuario del Río Coyle,Argentina,2209,121.28,0,15.43,0
Hopkins Dobson Rivers,New Zealand,2210,227.82,62,8.69,0
Amoron'i Onilahy and Onilahy River NPA,Madagascar,2211,394.48,1.6,19.24,0
Nicoya Gulf mangroves and coastal areas,Costa Rica,2212,366.02,9.26,27.47,0
Tabin Wildlife Reserve,Malaysia,2213,1583.66,88.53,18.38,0
Netravalli Wildlife Sanctuary,India,2214,352.24,44.34,15.52,0
Ramanagara Reserve Forest,India,2215,147.73,0,22.9,0
Erromango,Vanuatu,2216,345.34,13.2,19.28,0
Tilarán Highlands,Costa Rica,2217,2063.17,30.81,25.5,0
Lake Nokoué,Benin,2218,1039.31,0.99,19.42,0
"Low Cay, High Cay and Sandy Hook",Bahamas,2219,9.44,0,17.19,0
Pantai Timur Surabaya,Indonesia,2220,20.48,0,22.12,0
Zafimaniry Classified Forest NPA,Madagascar,2221,64.41,0,19.26,0
La Mensura,Cuba,2222,148.34,89.13,16.84,0
Koshi Tappu Wildlife Reserve and Koshi Barrage,Nepal,2223,409.19,93.99,26.42,0
Lower Tampa Bay,USA,2224,9.15,33.33,28.52,0
Dzuku Valley,India,2225,62.12,0,17.92,0
Kaya Jibana,Kenya,2226,27.48,75,18.9,0
Dibang Reserve Forest and adjacent areas,India,2227,698.14,21.28,17.13,0
Pani-Dihing Bird Sanctuary,India,2228,189.95,0,27.56,0
Yallahs,Jamaica,2229,127.74,12.82,27.6,0
Booby Rocks and Pirates Bay,Bahamas,2230,22.27,0,14.49,0
Little Abbai River,Ethiopia,2231,1053.86,0,20.7,0
Ambuau,Indonesia,2232,51.41,0,15.65,0
Sidiangkat,Indonesia,2233,233.81,0,13.28,0
Ordesa-Bielsa,Spain,2234,529.21,93.3,10.87,0
Brejo de Taquaritinga,Brazil,2235,95.47,0,21.72,0
Kazbegi,Georgia,2236,1053.62,37.74,15.91,0
Leitimur,Indonesia,2237,250.77,0,17.42,0
Ankafina (Ambohimasoa),Madagascar,2238,12.85,0,17.04,0
Binh An,Vietnam,2239,248.29,0,20.43,0
Tambu,Indonesia,2240,141.11,2.44,15.48,0
Lumding - Marat Longri,India,2241,823.84,0,12.92,0
Mau Narok - Molo grasslands,Kenya,2242,1046.37,29.28,15.18,0
Cape St George (Last Corner),Papua New Guinea,2243,933.24,0,15.57,0
Piankou Nature Reserve,China (mainland),2244,236.12,75.29,10,0
Mborokua Island,Solomon Islands,2245,6.8,0,12.54,0
Candaba swamp,Philippines,2246,39.87,0,23.34,0
Sumapaz Natural National Park (Parque Nacional Natural Sumapaz IBA),Colombia,2247,2644.35,97.66,15.86,0
Parque Nacional Cotopaxi,Ecuador,2248,454.35,87.88,22.5,0
Raydah escarpment,Saudi Arabia,2249,55.6,35.29,15.88,0
Bardia National Park,Nepal,2250,1722.03,96.14,19.96,0
Mahwit,Yemen,2251,149.27,0,12.97,0
Samana Cay,Bahamas,2252,25.33,0,7.51,0
Wadi al-Birayn,Yemen,2253,83.26,0,12.31,0
Monte Diatuto,Timor-Leste,2254,496.64,29.45,13.59,0
Jabal Dawran,Yemen,2255,99.88,0,11.96,0
Southern Ladan Hills,Brunei,2256,480.61,76.43,12.15,0
Kawkaban - Shibam,Yemen,2257,139.31,0,15.6,0
Manu,Peru,2258,17855.91,99.89,15.98,0
Ta'izz wadis,Yemen,2259,90.33,0,23.81,0
Jabal Sawda,Saudi Arabia,2260,414.95,1.58,22.55,0
Behali Reserve Forest,India,2261,138.13,0,20.41,0
Someshwara Wildlife Sanctuary,India,2262,184.08,0,17.07,0
Jemma and Jara valleys,Ethiopia,2263,1311.13,0,22.53,0
Selva Alegre,Ecuador,2264,212.99,0,18.17,0
Hajjah mountains,Yemen,2265,556.95,0,14.25,0
Jabal Qaha - Lajib gorge,Saudi Arabia,2266,879.05,0,13.54,0
Western Zagros north of Nowsud,"Iran, Islamic Republic of",2267,707.9,0,19.29,0
Gunung Dempo,Indonesia,2268,710.88,0,16.9,0
"Jan Thiel Lagoon, Curaçao",Curaçao (to Netherlands),2269,6.73,50,34.7,0
Isla Noir,Chile,2270,14,0,5.85,0
Dilu Meda (Tefki),Ethiopia,2271,57.82,0,27.07,0
Akaki - Aba-Samuel wetlands,Ethiopia,2272,47.62,0,22.61,0
San Salvador,Bahamas,2273,3.13,0,7.5,0
Song Thanh,Vietnam,2274,1257.22,87.6,17.37,0
Chuna Forest,Kenya,2275,85.78,8,19.77,0
Green Lake,Ethiopia,2276,6.81,0,21,0
Lugu Hu,China (mainland),2277,225.53,59.47,11.91,0
"Lac Bay, Bonaire","Bonaire, Sint Eustatius and Saba (to Netherlands)",2278,10.1,66.67,15.46,0
Cordillera Huayhuash y Nor-Oyón,Peru,2279,971.73,85.37,20.19,0
Bishoftu lake,Ethiopia,2280,6.8,0,43.73,0
Angodoka-Ambakoa (Besalampy),Madagascar,2281,260.16,0,11.02,0
"Vlora Bay, Karaburun Peninsula and Cika mountain",Albania,2282,509.81,41.72,24.05,0
Panticosa-Vignemale-Tendeñera,Spain,2283,472.86,94.66,24.44,0
Karathuri,Myanmar,2284,378.62,0,19.46,0
Taedong River estuary,North Korea,2285,72.54,0,27.56,0
Maliau Basin Conservation Area,Malaysia,2286,1183.31,63.19,5.95,0
Eua island,Tonga,2287,80.14,0,NA,0
Dulong Jiang River Valley,China (mainland),2288,3447.4,74.44,11.24,0
Mananjary River,Madagascar,2289,288.83,0,21.02,0
Gunung Salahutu,Indonesia,2290,140.86,0,20.44,0
Gunung Pueh,Malaysia,2291,247.72,1.39,17.35,0
Mount Kampalili-Puting Bato,Philippines,2292,2089.72,0,16.2,0
Orari River,New Zealand,2293,103.82,16.68,25.27,0
Atherton Tablelands,Australia,2294,470.02,26.57,20.48,0
Maevatanana-Ambato-Boeny wetlands,Madagascar,2295,375.95,0,19.49,0
Yakushima and Tanegashima islands,Japan,2296,919.89,60.67,28.53,0
Estuario de Virrila,Peru,2297,510.21,0,8.39,0
Min Shan mountains,China (mainland),2298,4424.85,0,16.63,0
Mussulo,Angola,2299,23.8,0,17.74,0
Ankorabe (Antadonkomby) NPA,Madagascar,2300,12.97,0,17,0
Korup National Park,Cameroon,2301,1504.89,96.36,18.25,0
Lopé Faunal Reserve,Gabon,2302,5459.09,99.94,5,0
Antanifotsy Sud (Diana),Madagascar,2303,30.21,0,19.31,0
Daiyun Shan Nature Reserve,China (mainland),2304,170.63,58.18,19.19,0
Manteles - El Triunfo - Sucre,Ecuador,2305,86.03,4,24.35,0
"Point Martin, Laurie Island",Antarctica,2306,5.04,0,NA,0
Babcock-Webb Ecosystem,USA,2307,948.95,4.86,17.93,0
Muş Plain,Turkey,2308,268.33,0,26.79,0
Serra de Itamaraju,Brazil,2309,247.14,0,13.56,0
Mount Latian complex,Philippines,2310,1270.01,0,14.53,0
Daalo,Somalia,2311,2247.38,0,6.25,0
Parque Nacional Lihue Calel,Argentina,2312,1424.24,29.56,6.08,0
Maubara,Timor-Leste,2313,71.47,0,16.12,0
ENS Les Orangers,Réunion (to France),2314,6.42,50,23.85,0
Dudhwa National Park,India,2315,955.98,93.99,22.9,0
Peninsula of Jandía,Spain,2316,109.33,94.44,39.52,0
Ka Whata Tu o Rakihouia/Kaikoura,New Zealand,2317,471.15,67.57,12.84,0
Mahafaly Plateau Forest Complex NPA,Madagascar,2318,603.15,1.04,13.61,0
Be Malae,Timor-Leste,2319,333.28,0,15.2,0
Tawushan Nature Reserve and Hsuangkuei Lake,Taiwan,2320,1152.64,98.9,16,0
Laleia,Timor-Leste,2321,139.55,0,18.82,0
Raiatea,French Polynesia,2322,131.79,0,15.14,0
Moreton Bay and Pumicestone Passage,Australia,2323,537.82,96.59,41.5,0
Isla La Blanquilla,Venezuela,2324,33.69,0,NA,0
Chitwan National Park,Nepal,2325,2054.49,95.55,26.13,0
Itanhaém / Mongaguá,Brazil,2326,477.54,36.85,24.94,0
Zeilad Lake Sanctuary,India,2327,24.98,0,14.09,0
Mouling National Park,India,2328,616.75,20.59,12.72,0
Mahananda Wildlife Sanctuary,India,2329,215.01,74.28,29.92,0
Anjozorobe NPA,Madagascar,2330,32.72,0,16.82,0
"Ciénaga Grande, Isla de Salamanca and Sabana Grande RAMSAR biosphere reserve",Colombia,2331,1829.25,42.69,24.92,0
Sarpang-Gelephu foothills,Bhutan,2332,822.43,68.28,17.32,0
Pakhui or Pakke Wildlife Sanctuary,India,2333,971.29,49.51,7.3,0
Belait Swamp Forest,Brunei,2334,837.39,20.08,21.77,0
Boston,South Africa,2335,424.23,0,17.7,0
Nari,Timor-Leste,2336,57.89,0,20.9,0
Lituban-Quipit Watershed,Philippines,2337,446.72,0,15.92,0
Gunung Liman-Wilis,Indonesia,2338,327.37,3.13,13.77,0
Pradera de Tokio,Mexico,2339,5522.49,3.73,13.08,0
Batang Toru,Indonesia,2340,1985.25,14.73,15.13,0
Mekongga,Indonesia,2341,5218.6,1.45,9.77,0
Sandy Point,Bahamas,2342,3.15,0,17.07,0
Kemp Cay to Pigeon Cay,Bahamas,2342,6.2,0,18,0
Sapo - Grebo Corridor,Liberia,2344,2236.73,0,11.16,0
